,loss,accuracy,model
94,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.7866666666666666,TransductiveSuperGAT
95,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.8133333333333334,TransductiveSuperGAT
96,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.8066666666666666,TransductiveSuperGAT
97,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.7066666666666667,TransductiveSuperGAT
98,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.6433333333333333,TransductiveSuperGAT
99,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.7433333333333333,TransductiveSuperGAT
100,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.8433333333333334,TransductiveSuperGAT
101,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.8066666666666666,TransductiveSuperGAT
102,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.7833333333333333,TransductiveSuperGAT
103,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.7633333333333333,TransductiveSuperGAT
104,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.7666666666666667,TransductiveSuperGAT
105,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.8033333333333333,TransductiveSuperGAT
106,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.8366666666666667,TransductiveSuperGAT
107,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
108,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
109,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
110,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.8433333333333334,TransductiveSuperGAT
111,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
112,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8366666666666667,TransductiveSuperGAT
113,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.8233333333333334,TransductiveSuperGAT
114,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.83,TransductiveSuperGAT
115,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.8366666666666667,TransductiveSuperGAT
116,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.83,TransductiveSuperGAT
117,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.8333333333333334,TransductiveSuperGAT
118,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
119,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
120,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.76,TransductiveSuperGAT
121,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.71,TransductiveSuperGAT
122,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.7166666666666667,TransductiveSuperGAT
123,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.7866666666666666,TransductiveSuperGAT
124,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8466666666666667,TransductiveSuperGAT
125,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
126,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8866666666666667,TransductiveSuperGAT
127,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
128,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
129,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8133333333333334,TransductiveSuperGAT
130,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.78,TransductiveSuperGAT
131,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.79,TransductiveSuperGAT
132,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8233333333333334,TransductiveSuperGAT
133,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
134,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
135,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
136,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
137,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8766666666666667,TransductiveSuperGAT
138,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8766666666666667,TransductiveSuperGAT
139,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
140,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
141,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.84,TransductiveSuperGAT
142,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8333333333333334,TransductiveSuperGAT
143,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8366666666666667,TransductiveSuperGAT
144,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8466666666666667,TransductiveSuperGAT
145,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
146,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
147,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8833333333333333,TransductiveSuperGAT
148,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8833333333333333,TransductiveSuperGAT
149,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8833333333333333,TransductiveSuperGAT
